2[Wed, 30 Mar 2011 09:12:43 GMT] [info] [<0.31.0>] Apache CouchDB has started on http://127.0.0.1:5001/

[Wed, 30 Mar 2011 09:15:14 GMT] [info] [<0.106.0>] 127.0.0.1 - - 'GET' / 200

[Wed, 30 Mar 2011 09:16:06 GMT] [info] [<0.259.0>] 127.0.0.1 - - 'PUT' /global_node 201

[Wed, 30 Mar 2011 09:18:40 GMT] [error] [<0.312.0>] attempted upload of invalid JSON (set log_level to debug to log it)

[Wed, 30 Mar 2011 09:18:40 GMT] [info] [<0.312.0>] 127.0.0.1 - - 'PUT' /global_node/doc1 400

[Wed, 30 Mar 2011 09:19:20 GMT] [error] [<0.474.0>] attempted upload of invalid JSON (set log_level to debug to log it)

[Wed, 30 Mar 2011 09:19:20 GMT] [info] [<0.474.0>] 127.0.0.1 - - 'PUT' /global_node/doc1 400

[Wed, 30 Mar 2011 09:19:43 GMT] [info] [<0.516.0>] 127.0.0.1 - - 'PUT' /global_node/doc1 201

[Wed, 30 Mar 2011 09:28:30 GMT] [error] [<0.539.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:30 GMT] [info] [<0.539.0>] 127.0.0.1 - - 'GET' / 200

[Wed, 30 Mar 2011 09:28:30 GMT] [error] [<0.539.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:34 GMT] [error] [<0.539.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:34 GMT] [info] [<0.539.0>] 127.0.0.1 - - 'GET' /_utils 301

[Wed, 30 Mar 2011 09:28:34 GMT] [error] [<0.539.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:34 GMT] [error] [<0.1066.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:34 GMT] [error] [<0.539.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:34 GMT] [error] [<0.1073.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:34 GMT] [error] [<0.1075.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:34 GMT] [error] [<0.1076.0>] cookie auth secret is not set

[Wed, 30 Mar 2011 09:28:34 GMT] [error] [<0.1074.0>] cookie auth secret is not set

